ts_code	trade_date	close	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv
300595.SZ	20200429	67.33	1.3592	7.2191	0.94	88.7757	92.5549	19.7614	42.115	43.257	0.1153	0.1153	40463.868	28788.5929	5420.2695	2724432.2324	1938335.96
300595.SZ	20200428	68.07	1.651	8.7689	1.25	89.7514	93.5721	19.9786	42.5778	43.7325	0.114	0.114	40463.868	28788.5929	5420.2695	2754375.4948	1959639.5187
300595.SZ	20200427	67.0	2.8425	15.0971	2.94	88.3406	92.1013	19.6645	41.9085	43.045	0.1159	0.1159	40463.868	28788.5929	5420.2695	2711079.156	1928835.7243
300595.SZ	20200424	61.77	0.8384	1.4456	0.82	81.4448	81.4448	18.7868	38.6372	38.6372	0.1257	0.1257	40463.868	28788.5929	16694.9373	2499453.1264	1778271.3834
300595.SZ	20200423	62.18	0.8594	1.4819	0.79	81.9854	81.9854	18.9115	38.8936	38.8936	0.1248	0.1248	40463.868	28788.5929	16694.9373	2516043.3122	1790074.7065
300595.SZ	20200422	62.15	1.017	1.7537	0.86	81.9458	81.9458	18.9024	38.8749	38.8749	0.1249	0.1249	40463.868	28788.5929	16694.9373	2514829.3962	1789211.0487
300595.SZ	20200421	60.93	1.0722	1.8489	0.83	80.3372	80.3372	18.5313	38.1118	38.1118	0.1274	0.1274	40463.868	28788.5929	16694.9373	2465463.4772	1754088.9654
300595.SZ	20200420	62.0	1.0403	1.7939	0.75	81.748	81.748	18.8568	38.781	38.781	0.1252	0.1252	40463.868	28788.5929	16694.9373	2508759.816	1784892.7598
300595.SZ	20200417	61.09	1.1458	1.9758	0.76	80.5482	80.5482	18.58	38.2118	38.2118	0.1271	0.1271	40463.868	28788.5929	16694.9373	2471937.6961	1758695.1403
300595.SZ	20200416	62.1	1.19	2.0521	0.79	81.8799	81.8799	18.8872	38.8436	38.8436	0.125	0.125	40463.868	28788.5929	16694.9373	2512806.2028	1787771.6191
300595.SZ	20200415	61.0	1.4626	2.5221	1.1	80.4295	80.4295	18.5526	38.1555	38.1555	0.1273	0.1273	40463.868	28788.5929	16694.9373	2468295.948	1756104.1669
300595.SZ	20200414	62.97	1.6462	2.8386	1.38	83.027	83.027	19.1518	39.3878	39.3878	0.1233	0.1233	40463.868	28788.5929	16694.9373	2548009.768	1812817.6949
300595.SZ	20200413	61.73	1.509	2.6021	1.42	81.3921	81.3921	18.7747	38.6122	38.6122	0.1258	0.1258	40463.868	28788.5929	16694.9373	2497834.5716	1777119.8397
300595.SZ	20200410	59.45	1.7763	3.063	1.91	78.3858	78.3858	18.0812	37.186	37.186	0.1306	0.1306	40463.868	28788.5929	16694.9373	2405576.9526	1711481.8479
300595.SZ	20200409	59.05	1.1144	1.9216	1.25	110.4957	77.8882	17.9599	52.1223	36.8989	0.1315	0.1315	40463.868	28788.5929	16694.9373	2389391.4054	1699966.4107
